ID_Prospect,Nombre del jugador,Nacimiento,Posición,Equipo,Liga,Experiencia universitaria,Pred_Score,Age,Predicted_Pick
isaiah-evans,Isaiah Evans,2005-12-06,G,Duke,College,Sophomore,0.031602617,21,77
tyler-nickel,Tyler Nickel Nickel,2003-09-05,F,Vanderbilt,College,Senior,0.031111123,23,78
jaxon-kohler,Jaxon Kohler,2003-06-17,F,Michigan State,College,Senior,0.030479202,23,79
tobi-lawal,Tobi Lawal,2003-05-01,F,Virginia Tech,College,Senior,0.02915178,23,80
kylan-boswell,Kylan Boswell,2005-04-18,G,Illinois,College,Senior,0.02423493,21,81
jaden-henley,Jaden Henley,2004-04-14,G,Grand Canyon,College,Senior,0.022350451,22,82
tucker-devries,Tucker DeVries,2002-12-07,F,Indiana,College,Senior,0.021477683,24,83
lamar-wilkerson,Lamar Wilkerson,2001-11-17,G,Indiana,College,Senior,0.021365734,25,84
jaron-pierrejr,Jaron Pierre Jr.,2002-07-12,G,Southern Methodist,College,Senior,0.021309638,24,85
ugonna-onyenso,Ugonna Onyenso,2004-09-25,C,Virginia,College,Senior,0.020408368,22,86
emanuel-sharp,Emanuel Sharp,2004-03-07,G,Houston,College,Senior,0.019621177,22,87
nate-bittle-2,Nate Bittle,2003-06-03,C,Oregon,College,Senior,0.011920464,23,88
milos-uzan,Milos Uzan,2002-12-26,G,Houston,College,Senior,0.01000385,24,89
michael-ajayi,Michael Ajayi,2003-06-23,F,Butler,College,Senior,0.007976489,23,90
kowacie-reeves,Kowacie Reeves,2003-01-31,F,Georgia Tech,College,Senior,0.0025077083,23,91
darrion-williams,Darrion Williams,2003-04-23,F,North Carolina State,College,Senior,0.0024225463,23,92
tyon-grant-foster,Tyon Grant-Foster,2000-03-05,F,Gonzaga,College,Senior,0.0013078369,26,93
chris-bell,Chris Bell,2003-02-16,F,California,College,Senior,0.0006829242,23,94
